status,is_placeholder,filename,job_id,num_nodes,num_cores,total_cores,system,input_size,repeats,check_enabled,sdc_rate,requested_sdc,actual_sdc,max_injected_sdcs,cutoff,first_tree_ns,first_tree_s,twin_tree_ns,twin_tree_s,traversal_ns,traversal_s,third_tree_ns,third_tree_s,process_time_ns,process_time_s,overhead_vs_first_s,recovery_overhead_s,first_tree_tasks,twin_tree_tasks,third_tree_tasks,traversal_root_exec_once_ns,traversal_clear_analysis_ns,traversal_seed_needed_ns,traversal_propagate_needed_ns,traversal_precompute_direct_ns,traversal_materialize_marked_ns,replay_profile_total_ns,replay_profile_parent_validate_ns,replay_profile_child_resolve_ns,replay_profile_child_validate_ns,replay_profile_decision_ns,sync_calls,sync_total_ns,sync_done_ns,sync_copy_ns,resume_calls,resume_total_ns,resume_copy_ns,values_match_full,values_match_equal,values_match_unequal,values_match_fetch_bytes,values_match_avg_fetch,values_match_ns,output_match_bridge,output_match_visible,output_match_values_taken,output_match_values_true,output_match_values_false,fork_exact_skip,fork_source_skip,fork_parent_drop,fork_child_null,fork_child_invalid,fork_child_validation_miss,fork_replay_exec,fork_needed,fork_value_mismatch,fork_source_invalid,fork_local_mismatch,fork_infected,decision_exact_leaf,decision_exact_recursive,decision_source_leaf,decision_source_alias,decision_incorrect_child,decision_cheap_false,decision_cheap_true_no_skip,sdc_sites
ok,0,itoyorifutures-numNodes8-numCores320-totalCores320-._._examples_lcs.out-n1048576-r1-c0-s0.000006-m6.out.1668122,1668122,8,320,320,._._examples_lcs.out,1048576,1,0,0.000006,6,6,6,512,8293646512,8.293646512,8185748205,8.185748205,170984966,0.170984966,8093757219,8.093757219,24751344179,24.751344179,16.457697666999998,16.45049039,5592405,5592405,5592405,50484,382,11742,28755,164487371,188968,209733194,132,252,404,777,39586,129001019,62460571,64336856,8258,26561937,26320179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,4,0,0,"(437,152):down:671;(337,1009):down:837;(331,1012):down:864;(928,494):right:59;(65,1740):down:739;(812,552):down:538"
incomplete,0,itoyorifutures-numNodes8-numCores320-totalCores320-._._examples_lcs.out-n1048576-r1-c0-s0.000006-m6.out.1668123,1668123,8,320,320,._._examples_lcs.out,1048576,1,0,0.000006,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,0,itoyorifutures-numNodes8-numCores320-totalCores320-._._examples_lcs.out-n1048576-r1-c0-s0.000006-m6.out.1668125,1668125,8,320,320,._._examples_lcs.out,1048576,1,0,0.000006,6,6,6,512,8565434167,8.565434167,8464855435,8.464855435,189673556,0.189673556,9528764154,9.528764154,26758212115,26.758212115,18.192777948,18.183293145,5592405,5592405,5592405,36003,381,13509,25271,182622104,168593,248896984,125,217,407,913,40211,161076238,79760881,79099618,9814,37180338,36869388,1,0,1,8200,8200,126728,7,0,1,0,1,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,4,0,0,"(437,152):down:671;(331,1012):down:864;(928,494):right:59;(337,1009):down:837;(812,552):down:538;(65,1740):down:739"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667765,1667765,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5662609780,5.66260978,5463228836,5.463228836,283959466,0.283959466,3127081237,3.127081237,14553374575,14.553374575,8.890764794999999,8.874269539,5592405,5592405,2796203,56484,264,16190,31222,265966258,200904,97669427,398,694,15786,115664,9615,71457757,39206129,31740452,4063,22391141,22273972,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667766,1667766,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5646597641,5.646597641,5423468649,5.423468649,299797792,0.299797792,3117234193,3.117234193,14503495911,14.503495911,8.85689827,8.840500634,5592405,5592405,2796203,54972,254,16548,34297,281822047,243405,91596241,549,619,14789,181264,9509,72016257,39151852,32353131,4137,23019618,22902469,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667767,1667767,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5541725239,5.541725239,5319752887,5.319752887,294458005,0.294458005,3048915973,3.048915973,14220294090,14.22029409,8.678568851,8.663126865,5592405,5592405,2796203,57640,366,17504,34256,276236974,226740,94750793,484,786,15045,165245,9436,73048650,39533162,33006790,3940,22061878,21948014,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667768,1667768,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5576355102,5.576355102,5409128177,5.409128177,282696443,0.282696443,3086631384,3.086631384,14368789036,14.368789036,8.792433934000002,8.778456004,5592405,5592405,2796203,61303,246,16387,33380,265155006,246338,79855985,330,655,17635,182639,9056,69389523,36368245,32501777,4219,22768908,22640782,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667818,1667818,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5759806203,5.759806203,5533166236,5.533166236,295011335,0.295011335,3157662807,3.157662807,14760100097,14.760100097,9.000293894,8.985840377999999,5592405,5592405,2796203,56813,541,16886,32835,276527881,259415,97139870,430,852,15599,173102,9594,74885311,40790921,33572810,3929,21812301,21697535,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667819,1667819,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5695296766,5.695296766,5479204733,5.479204733,287633956,0.287633956,3090910197,3.090910197,14569166186,14.569166186,8.87386942,8.857748886,5592405,5592405,2796203,54531,248,16016,30682,270072653,221593,93709102,419,640,12123,180464,9453,69712012,38138563,31038276,4093,21613115,21488128,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
ok,0,itoyorifutures-numNodes16-numCores640-totalCores640-._._examples_lcs.out-n1048576-r1-c0-s0.000002-m1.out.1667820,1667820,16,640,640,._._examples_lcs.out,1048576,1,0,0.000002,1,1,1,512,5588470431,5.588470431,5361844169,5.361844169,283409868,0.283409868,3102899240,3.10289924,14353376938,14.353376938,8.764906507,8.748153277,5592405,5592405,2796203,56437,303,23907,38911,265045292,230808,90753235,394,684,16000,178831,9096,70670837,38211238,31965783,3952,22592533,22473505,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,2,2,0,0,"(1507,569):down:1013"
