status,is_placeholder,num_nodes,total_cores,sdc_rate,requested_sdc,actual_sdc,runs_total,runs_ok,runs_incomplete,runs_failed,process_time_s_mean,process_time_s_median,process_time_s_min,process_time_s_max,process_time_s_stddev,first_tree_s_mean,twin_tree_s_mean,traversal_s_mean,third_tree_s_mean,overhead_vs_first_s_mean,recovery_overhead_s_mean,actual_sdc_mean,fork_replay_exec_mean,fork_source_skip_mean,fork_value_mismatch_mean,fork_infected_mean
ok,0,4,160,0.000006,5,5,9,9,0,0,44.03149342644444,43.811230839,43.490333771,44.768315246,0.5004967896698141,14.803457732444445,14.560535176,0.15365854644444443,14.508682647,29.228035694,29.222876369444442,5.0,4.0,0.0,4.0,4.0
incomplete,0,4,160,0.000006,6,0,2,0,2,0,,,,,,,,,,,,0.0,,,,
ok,0,4,160,0.000006,6,6,7,7,0,0,43.54583158957143,43.579474737,42.768204073,44.412192049,0.5733839253363778,14.626926618285715,14.390291103428572,0.14673208742857144,14.377152126571428,28.918904971285713,28.914175317428572,6.0,4.0,0.0,4.0,4.0
incomplete,0,8,320,0.000002,1,0,3,0,3,0,,,,,,,,,,,,0.0,,,,
ok,0,8,320,0.000002,1,1,19,19,0,0,21.570408292894736,21.561317663,21.098178147,22.110560885,0.2821703921384434,8.462437898578948,8.377358957315789,0.213240699,4.508899309368421,13.10797039431579,13.09949896568421,1.0,2.0,2.0,2.0,2.0
ok,0,8,320,0.000002,2,2,7,7,0,0,21.611441774714287,21.510819179,21.06310306,21.993687999,0.33616709793519833,8.493514418857144,8.389310002285715,0.20322426742857141,4.5170411168571425,13.117927355857143,13.109575386571429,2.0,2.0,2.0,2.0,2.0
incomplete,0,8,320,0.000002,3,0,1,0,1,0,,,,,,,,,,,,0.0,,,,
ok,0,8,320,0.000002,3,2,4,4,0,0,21.6828311535,21.626020293,21.392182539,22.087101489,0.34340940536212117,8.49143376925,8.417014323,0.219719607,4.54689854275,13.19139738425,13.18363247275,2.0,2.0,2.0,2.0,2.0
ok,0,8,320,0.000002,4,2,10,10,0,0,21.8922201225,21.885815352,21.577720053,22.128575418,0.15998332514572902,8.5720479345,8.5016152118,0.2236433607,4.5861863362,13.320172188,13.3114449087,2.0,2.0,2.0,2.0,2.0
incomplete,0,8,320,0.000006,3,0,2,0,2,0,,,,,,,,,,,,0.0,,,,
